Algoritmo,Dataset,Cluster,Coverage,Separation Error,Conciseness
SVC,mushroom,0,0.0,0,0.0101
SVC,mushroom,1,0.0,0,0.0078
SVC,mushroom,2,0.0,0,0.0088
RandomForestClassifier,mushroom,0,0.0,0,0.0101
RandomForestClassifier,mushroom,1,0.0,0,0.0075
RandomForestClassifier,mushroom,2,0.0,0,0.0087
LogisticRegression,mushroom,0,0.0,0,0.0068
LogisticRegression,mushroom,1,0.0,0,0.0075
LogisticRegression,mushroom,2,0.0,0,0.0083
KNeighborsClassifier,mushroom,0,0.0,0,0.0083
KNeighborsClassifier,mushroom,1,0.0,0,0.0083
KNeighborsClassifier,mushroom,2,0.0,0,0.0093
DecisionTreeClassifier,mushroom,0,0.0,0,0.0058
DecisionTreeClassifier,mushroom,1,0.0,0,0.0064
DecisionTreeClassifier,mushroom,2,0.0,0,0.0125
